,date,device,text,location
88,2016-09-22 23:52:25,HubSpot,Report: Yahoo may confirm massive data breach https://t.co/6LMDLF2WP9 by @KGWNews https://t.co/Z100Jlfjge,
89,2016-09-22 23:52:18,Linkis: turn sharing into growth,Yahoo data breach affects at least 500 million users https://t.co/nWfpnp8X4n via @itworld,
90,2016-09-22 23:52:18,Twitter Web Client,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
91,2016-09-22 23:52:13,Twitter for iPhone,Massive data breach confirms your aunt is Yahoo’s only user. #Yahoo https://t.co/oT0gaF865y,
92,2016-09-22 23:52:12,Cloudhopper,"Yahoo confirms data ""associated w 500 million user accounts"" hav been stolen https://t.co/g19lwm2EFg/s/oPcc https://t.co/GGpnEkQerc/s/lrJg",
93,2016-09-22 23:52:04,StockNewsWires,"$VZ $YHOO:

Will Yahoo’s Data Breach Derail Verizon Deal?:

https://t.co/uXVP80v2jT",
94,2016-09-22 23:52:03,HubSpot,Report: Yahoo may confirm massive data breach https://t.co/TEBvRh4oPS by @KGWNews https://t.co/DY32aBioac,
95,2016-09-22 23:51:54,Twitter for Android,"Yahoo hit in worst hack ever. If u have 2FA turned on &amp; dont reuse your passwd ur fine. But chg pwd anyway..
https://t.co/jhJ88LSflB",
96,2016-09-22 23:51:48,Twitter Web Client,"Yahoo hit in worst hack ever, 500 million accounts swiped https://t.co/lqJJACtWIx via @CNET",
97,2016-09-22 23:51:43,Twitter for iPhone,Phew...It's only Yahoo.  I thought Yoo-hoo had been hacked in a massive chocolate beverage data breach. https://t.co/yVKhEKcJHz,
98,2016-09-22 23:51:42,Twitter for Android,Here's what you need to know about the Yahoo breach that compromised half a billion users' data: https://t.co/SQ6PpA6wv6,
99,2016-09-22 23:51:39,Zapier.com,Yahoo Confirms Details of Massive Data Breach https://t.co/IH3a4igdmw #Opines on #CIO,
0,2016-09-22 23:50:58,Twitter Web Client,"Thanks for notifying us 2 years later #yahoo. Rotating #passwords, not fun, but necessary due to issues like this. 
https://t.co/JB57mNhYVj",
1,2016-09-22 23:50:56,twitterfeed,"Yahoo hit in worst hack ever, 500 million accounts swiped     - CNET: The internet company, being bought by V... https://t.co/yNdJIkN1Rm",
2,2016-09-22 23:50:55,Zapier.com,Yahoo says 500 million accounts stolen - CNNMoney https://t.co/qNWwMbaZJ0,
3,2016-09-22 23:50:50,Twitter Web Client,“Yahoo confirms hackers stole personal data from nearly 500 million users” by @lalaurenista https://t.co/XcejFe88V0 Yahoo email;change PassW,
4,2016-09-22 23:50:47,Twitter for Android,"Yahoo reveals massive data breach of over 500 million accounts by ""state-sponsored actor"" https://t.co/0zsE3MnWM1 https://t.co/AzBtJsyVaB",
5,2016-09-22 23:50:46,Twitter for iPhone,"Yahoo says 500 million accounts stolen - Sep. 22, 2016 #SmartNews https://t.co/C2ZlQTmhwK",
6,2016-09-22 23:50:40,Twitter for Android,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
7,2016-09-22 23:50:36,Twitter Web Client,Yahoo confirms at least 500 million accounts breached https://t.co/0arsl29sPs,
8,2016-09-22 23:50:23,Twitter Web Client,500 Million users hacked @yahoo back in 2014 and we're finding out now? https://t.co/SIZxzgWVmS,
9,2016-09-22 23:50:18,Twitter for Android,"Yahoo confirms data ""associated with at least 500 million user accounts"" have been stolen https://t.co/9lB0epW4uq https://t.co/nEGylGbcog",
10,2016-09-22 23:50:18,Twitter Web Client,“Yahoo confirms hackers stole personal data from nearly 500 million users” by @lalaurenista https://t.co/XcejFe88V0 Yahoo email;change PassW,
11,2016-09-22 23:50:13,Post with Klout,Verizon learned of Yahoo's massive data breach just two days ago https://t.co/lVwgfwbAYh,
12,2016-09-22 23:50:12,Twitter Lite,Yahoo confirms 500 million accounts compromised in huge data breach https://t.co/F3gcCMaJzR,
