,date,device,text,location
34,2017-09-07 23:04:28,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
35,2017-09-07 23:04:25,Twitter for iPad,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
36,2017-09-07 23:04:25,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
37,2017-09-07 23:03:44,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
38,2017-09-07 23:03:43,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
39,2017-09-07 23:03:26,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
40,2017-09-07 23:03:15,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
41,2017-09-07 23:02:32,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
42,2017-09-07 23:02:03,Hootsuite,"Equifax latest to fall victim to a cyber attack. Here's how to check if your information was compromised. 
https://t.co/9CEEHJ64QG",
43,2017-09-07 23:01:57,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
44,2017-09-07 23:00:58,Google,Equifax says personal data of 143 million customers exposed in cyber attack: Equifax says a… https://t.co/iduMnHq205,
45,2017-09-07 23:00:27,Hootsuite,Equifax says personal data of 143 million customers exposed in cyber attack https://t.co/iHl5DFSl8g,
46,2017-09-07 23:00:25,Twitter Web Client,"Equifax found out about the attack on July 29. They didn't notify those affected, but they did make $1.8 million https://t.co/jIYTUUiaDb https://t.co/0iSaekcOOi",
47,2017-09-07 23:00:15,Twibble.io,TransUnion -2.7% after attack on Equifax https://t.co/g9Af8EtGZC #wallstreet #nyse #trading,
48,2017-09-07 23:00:03,Twitter for iPhone,"Cybersecurity just never seems to get better... ""Equifax Says Cyber Attack May Have Hit 143 Million Customers"" https://t.co/B6ILzAaMij",
49,2017-09-07 22:59:49,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
